A0A2R8YCE0	B3GNT10
A0A2R8YCY7	ENSG00000284555
A0A2R8YD15	ENSG00000285133
A0A2R8YE69	ENSG00000284912
A0A2R8YED5	OR5BS1P
A0A2R8YEG4	OR2A1
A0A2R8YEH3	LOC112268384
A0A2R8YEV3	OR2A42
A0A2R8YFL7	OOSP4A
A0A2R8YFM6	OOSP3
A0A2R8YFR7	ENSG00000285408
A0A376A8Z9	KIR2DS5
A0A3B3IRQ3	LOC112267897
A0A3B3IRV3	MCTS2P
A0A3B3IT33	TRIM51GP
A0A3B3IT34	ENSG00000285946
A0A3B3IT45	OR51C1P
A0A3B3IT52	MSANTD5
A0A3B3IU46	RAMACL
A0A3B3IU63	H2AL1RP
A0A494BZU2	BLACAT1
A0A494BZU4	TMEM217
A0A494BZZ5	ENSG00000170152
A0A494C071	ENSG00000278803
A0A494C0B9	ENSG00000285938
A0A494C0I6	ENSG00000286224
A0A494C0N9	FAM246B
A0A494C0Y3	FAM246A
A0A494C162	ENSG00000275493
A0A494C176	ENSG00000286131
A0A494C193	ENSG00000204805
A0A494C1R9	TSPY9P
A0A499FJF3	ENSG00000282168
A0A4W9AIG4	OR2A14
A0A539	TRBV4-2
A0A576	TRBV3-1
A0A577	TRBV4-1
A0A578	TRBV5-1
A0A584	TRBV11-2
A0A589	TRBV4-3
A0A590UJ96	ENSG00000282936
A0A590UK24	ENSG00000287585
A0A590UK83	LINC00634
A0A597	TRBV5-5
A0A599	TRBV5-6
A0A5A2	TRBV5-8
A0A5A6	TRBV11-3
A0A5B0	TRBV14
A0A5B6	TRBV28
A0A5B7	TRBV29-1
A0A5B9	TRBC2
A0A5F9Z9Y6	ENSG00000283716
A0A5F9ZGZ6	ENSG00000288136
A0A5F9ZH02	SMIM42
A0A5F9ZH88	ENSG00000288316
A0A5F9ZHI8	ENSG00000263264
A0A5F9ZHS0	ENSG00000285976
A0A5F9ZHU2	ENSG00000288396
A0A5H1ZRR4	TRGJ2
A0A5K1VDZ0	KIR2DL1
A0A5S8K742	GLRA4
A0A669KAW2	ENSG00000288529
A0A669KB60	ENSG00000288570
A0A6I8PS25	ENSG00000288593
A0A6I8PU40	TUG1
A0A6Q8PFC9	ENSG00000288634
A0A6Q8PFD8	ENSG00000288614
A0A6Q8PFQ6	ENSG00000288608
A0A6Q8PGL7	ENSG00000288645
A0A6Q8PGS0	ENSG00000288623
A0A6Q8PGZ6	ENSG00000288639
A0A6Q8PGZ7	ENSG00000288644
A0A6Q8PHA8	ENSG00000288629
A0A6Q8PHG4	ENSG00000288637
A0A6Q8PHR7	ENSG00000288625
A0A6Q8PHS2	ENSG00000288626
A0FGR8	ESYT2
A0JD32	TRAV38-2DV8
A0JD36	TRDV2
A0JD37	TRDV3
A0JLT2	MED19
A0M8Q6	IGLC7
A0N4X2	TRAJ40
A0N4X5	TRAJ34
A0N4Z3	TRAJ14
A0N4Z7	TRAJ10
A0N4Z8	TRAJ9
A0PJZ0	ANKRD20A5P
A0ZSE6	TMEM30CP
A1A4F0	SLC66A1L
A1L3X4	MT1DP
A1L4Q6	-
A2A2Z9	ANKRD18B
A2A3N6	PIPSL
A2NJV5	IGKV2-29
A2RRH5	WDR27
A2RU37	LINC02872
A2RUG3	XKRY2
A2RUQ5	C17orf102
A2RUS2	DENND3
A2VEC9	SSPOP
A3KN74	GPX6
A3QJZ6	PRAMEF22
A4D0T2	C7orf66
A4D0Y5	C7orf77
A4D1N5	-
A4D1Z8	GRIFIN
A4D250	BLACE
A4D2B8	PMS2P1
A4FU49	SH3D21
A4IF30	SLC35F4
A4QN01	LINC01553
A4QPB2	LRP5L
A4QPH2	PI4KAP2
A4UGR9	XIRP2
A5PLN7	FAM149A
A6NC62	RBAKDN
A6NC78	GOLGA8IP
A6NC97	FAM172BP
A6NCF6	MAGEA13P
A6NCI5	LINC00862
A6NCN2	KRT87P
A6NDB9	PALM3
A6NDL7	METTL21EP
A6NDN8	-
A6NDR6	MEIS3P1
A6NDX4	-
A6NDX5	ZNF840P
A6NDY2	FAM90A10P
A6NE21	FAM90A19P
A6NEC2	NPEPPSL1
A6NEH8	ZNF503-AS2
A6NEK1	ARRDC5
A6NEL3	FAM86C2P
A6NER3	GAGE12J
A6NES4	MROH2A
A6NEW6	FAM90A17P
A6NEY3	GOLGA6L3
A6NEY8	PRORSD1P
A6NF01	POM121B
A6NFC9	OR2W5P
A6NFF2	NAP1L6P
A6NFR6	C5orf60
A6NGB0	TMEM191C
A6NGG3	C9orf92
A6NGK3	GAGE10
A6NGU5	GGT3P
